date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,nifty_range,nifty_pct_chg,vix_range,vix_pct_chg,nifty_direction,vix_regime
2025-05-26,24919.35,25079.2,24900.5,24996.35,17.28,18.41,16.06,18.08,178.70000000000073,0.30899682375342685,2.3500000000000014,4.629629629629606,UP,High
2025-05-27,24956.65,25062.9,24704.1,24837.7,18.02,19.19,17.42,18.46,358.8000000000029,-0.47662647029950156,1.7699999999999996,2.441731409544956,DOWN,High
2025-05-28,24832.5,24864.25,24737.05,24757.15,18.54,19.04,17.88,18.0,127.20000000000073,-0.30343300110741156,1.1600000000000001,-2.9126213592232997,DOWN,High
2025-05-29,24825.1,24892.6,24677.3,24880.85,18.02,18.02,16.21,16.27,215.29999999999927,0.22457109941147468,1.8099999999999987,-9.711431742508324,UP,Elevated
2025-05-30,24812.6,24863.95,24717.4,24736.65,16.42,16.55,15.29,16.22,146.54999999999927,-0.30609448425396035,1.2600000000000016,-1.2180267965895442,DOWN,Elevated
2025-06-02,24669.7,24754.4,24526.15,24690.35,16.08,17.73,16.08,17.15,228.25,0.08370592265003474,1.6500000000000021,6.6542288557214,FLAT,Elevated
2025-06-03,24786.3,24845.1,24502.15,24538.4,17.16,17.73,16.26,16.69,342.9499999999971,-1.0001492760113417,1.4699999999999989,-2.7389277389277322,DOWN,Elevated
2025-06-04,24560.45,24644.25,24530.45,24612.0,16.56,17.06,15.63,15.68,113.79999999999927,0.20989029109808044,1.429999999999998,-5.314009661835739,UP,Elevated
2025-06-05,24691.2,24899.85,24613.1,24761.1,15.75,15.93,14.98,15.09,286.75,0.28309681181959423,0.9499999999999993,-4.190476190476189,UP,Elevated
2025-06-06,24748.7,25029.5,24671.45,25000.3,15.08,15.61,14.37,14.73,358.0499999999993,1.0166190547382215,1.2400000000000002,-2.3209549071617985,UP,Normal
2025-06-09,25160.1,25160.1,25077.15,25103.1,14.63,15.52,14.63,14.71,82.94999999999709,-0.22654917905731153,0.8899999999999988,0.5468215994531844,DOWN,Normal
2025-06-10,25196.05,25199.3,25055.45,25091.5,14.69,14.74,13.93,13.98,143.84999999999854,-0.41494599351882266,0.8100000000000005,-4.833219877467654,DOWN,Normal
2025-06-11,25134.15,25222.4,25081.3,25126.8,14.02,14.16,13.56,13.72,141.10000000000218,-0.029243081624019673,0.5999999999999996,-2.139800285306692,FLAT,Normal
2025-06-12,25164.45,25196.2,24825.9,24856.0,13.67,14.27,13.13,14.15,370.2999999999993,-1.225737101347335,1.1399999999999988,3.5113386978785632,DOWN,Normal
2025-06-13,24473.0,24754.35,24473.0,24735.55,14.02,15.98,14.02,15.05,281.34999999999854,1.0728149389122699,1.9600000000000009,7.346647646219684,UP,Elevated
2025-06-16,24732.35,24967.1,24703.6,24940.95,15.08,15.47,14.55,14.86,263.5,0.8434297589998696,0.9199999999999999,-1.458885941644572,UP,Normal
2025-06-17,24977.85,24982.05,24813.7,24841.5,14.84,15.02,14.3,14.48,168.34999999999854,-0.545883652916479,0.7199999999999989,-2.425876010781669,DOWN,Normal
2025-06-18,24788.35,24947.55,24750.45,24798.75,14.4,14.82,14.11,14.26,197.09999999999854,0.04195519266108061,0.7100000000000009,-0.9722222222222299,FLAT,Normal
2025-06-19,24803.25,24863.1,24733.4,24744.7,14.28,14.37,13.74,14.19,129.6999999999971,-0.23605777468678202,0.629999999999999,-0.6302521008403339,DOWN,Normal
2025-06-20,24787.65,25136.2,24783.65,25079.75,14.26,14.26,13.32,13.6,352.5499999999993,1.1784094095244946,0.9399999999999995,-4.628330995792429,UP,Normal
2025-06-23,24939.75,25057.0,24824.85,24958.9,13.67,14.52,13.66,13.97,232.15000000000146,0.07678505197525887,0.8599999999999994,2.194586686174116,FLAT,Normal
2025-06-24,25179.9,25317.7,24999.7,25071.55,14.05,14.34,13.31,13.53,318.0,-0.4303035357567042,1.0299999999999994,-3.701067615658371,DOWN,Normal
2025-06-25,25150.35,25266.8,25125.05,25236.35,13.64,13.64,12.9,12.97,141.75,0.3419435514813829,0.7400000000000002,-4.912023460410553,UP,Normal
2025-06-26,25268.95,25565.3,25259.9,25530.4,12.96,13.33,12.52,12.58,305.3999999999978,1.0346690305691464,0.8100000000000005,-2.9320987654321007,UP,Normal
2025-06-27,25576.65,25654.2,25523.55,25632.45,12.59,12.92,12.32,12.36,130.65000000000146,0.21816774284357798,0.5999999999999996,-1.8268467037331204,UP,Normal
2025-06-30,25661.65,25669.35,25473.3,25507.45,12.39,13.03,12.39,12.74,196.04999999999927,-0.6008966687644834,0.6399999999999988,2.824858757062154,DOWN,Normal
2025-07-01,25551.35,25593.4,25501.8,25533.0,12.79,12.99,12.44,12.48,91.60000000000218,-0.07181616626910081,0.5500000000000007,-2.423768569194673,FLAT,Normal
2025-07-02,25588.3,25608.1,25378.75,25442.85,12.53,12.66,12.34,12.47,229.34999999999854,-0.5684238499626848,0.3200000000000003,-0.47885075818036027,DOWN,Normal
2025-07-03,25505.1,25587.5,25384.35,25397.4,12.45,12.66,12.19,12.41,203.15000000000146,-0.4222684874789606,0.47000000000000064,-0.3212851405622441,DOWN,Normal
2025-07-04,25428.85,25470.25,25331.65,25467.8,12.39,12.7,12.24,12.28,138.59999999999854,0.15317247929025335,0.4599999999999991,-0.8878127522195411,UP,Normal
2025-07-07,25450.45,25489.8,25407.25,25454.95,12.32,12.79,11.94,12.63,82.54999999999927,0.017681416242143477,0.8499999999999996,2.5162337662337775,FLAT,Normal
2025-07-08,25427.85,25548.05,25424.15,25523.1,12.56,12.71,12.06,12.21,123.89999999999782,0.37458927907785267,0.6500000000000004,-2.7866242038216527,UP,Normal
2025-07-09,25514.6,25548.7,25424.35,25464.65,12.2,12.36,11.75,11.89,124.35000000000218,-0.1957702648679449,0.6099999999999994,-2.5409836065573677,DOWN,Low
2025-07-10,25511.65,25524.05,25340.45,25348.15,11.94,12.19,11.61,11.65,183.59999999999854,-0.6408836747133217,0.5800000000000001,-2.4288107202680043,DOWN,Low
2025-07-11,25255.5,25322.45,25129.0,25140.55,11.67,12.12,11.54,11.87,193.45000000000073,-0.45514838352042064,0.5800000000000001,1.7137960582690681,DOWN,Low
2025-07-14,25149.5,25151.1,25001.95,25087.1,11.82,12.42,11.82,11.97,149.14999999999782,-0.2481162647368751,0.5999999999999996,1.2690355329949332,DOWN,Low
2025-07-15,25089.5,25245.2,25088.45,25219.65,11.98,12.03,11.41,11.44,156.75,0.5187429004165134,0.6199999999999992,-4.507512520868118,UP,Low
2025-07-16,25196.6,25255.3,25121.05,25198.55,11.48,11.67,11.2,11.24,134.25,0.0077391394077030995,0.47000000000000064,-2.0905923344947785,FLAT,Low
2025-07-17,25230.75,25238.35,25101.0,25109.5,11.24,11.54,10.73,11.28,137.34999999999854,-0.4805643906740764,0.8099999999999987,0.3558718861209842,DOWN,Low
2025-07-18,25108.55,25144.6,24918.65,24967.45,11.24,11.86,9.9,11.4,225.9499999999971,-0.5619599698110767,1.959999999999999,1.4234875444839812,DOWN,Low
2025-07-21,24999.0,25111.4,24882.3,25093.3,11.39,11.94,11.09,11.11,229.10000000000218,0.37721508860353303,0.8499999999999996,-2.4582967515364484,UP,Low
2025-07-22,25166.65,25182.0,25035.55,25064.9,11.2,11.23,10.69,10.72,146.45000000000073,-0.40430490351318626,0.5400000000000009,-4.2857142857142705,DOWN,Low
2025-07-23,25139.35,25233.5,25085.5,25209.2,10.75,10.75,10.22,10.49,148.0,0.27785125709296477,0.5299999999999994,-2.4186046511627923,UP,Low
2025-07-24,25243.3,25246.25,25018.7,25051.9,10.52,11.11,9.87,10.73,227.54999999999927,-0.7582209932932571,1.2400000000000002,1.9961977186311763,DOWN,Low
2025-07-25,25010.35,25010.35,24806.35,24832.2,10.72,11.58,10.61,11.29,204.0,-0.7123051056862395,0.9700000000000006,5.317164179104461,DOWN,Low
2025-07-28,24782.45,24889.2,24646.6,24673.95,11.28,12.23,10.33,12.07,242.60000000000218,-0.43780982106288446,1.9000000000000004,7.003546099290792,DOWN,Normal
2025-07-29,24609.65,24847.15,24598.6,24830.4,12.06,12.3,11.4,11.44,248.5500000000029,0.8970058493314559,0.9000000000000004,-5.140961857379778,UP,Low
2025-07-30,24890.4,24902.3,24771.95,24844.55,11.53,11.78,10.61,11.25,130.34999999999854,-0.18420756596921883,1.17,-2.4284475281873275,DOWN,Low
2025-07-31,24642.25,24956.5,24635.0,24765.6,11.21,12.12,11.21,11.49,321.5,0.5005630573506892,0.9099999999999984,2.4977698483496846,UP,Low
2025-08-01,24734.9,24784.15,24535.05,24572.15,11.54,12.11,11.4,12.03,249.10000000000218,-0.6579771901240705,0.7099999999999991,4.2461005199306845,DOWN,Normal
2025-08-04,24596.05,24736.25,24554.0,24726.9,11.98,12.63,11.8,11.83,182.25,0.5319959912262417,0.8300000000000001,-1.2520868113522599,UP,Low
