sl_pct,tp_pct,time_stop_min,trades,win_rate,winners,losers,net_pnl,avg_win,avg_loss,profit_factor,max_dd,return_over_dd
0.15,0.2,30,98,37.755102040816325,37,61,-36526.93462499993,987.7219256756763,-1197.9122274590154,0.50012847916464,35989.91587499995,-1.0149213671925534
0.15,0.2,45,98,37.755102040816325,37,61,-34507.19212499994,1082.963412162163,-1222.5711209016386,0.5372934428852429,35410.30462499995,-0.9744957715115954
0.15,0.2,60,98,38.775510204081634,38,60,-38480.74368749993,1066.988684210527,-1317.1052281249993,0.5130641694908433,39897.71868749994,-0.9644848114976572
0.15,0.2,90,98,38.775510204081634,38,60,-32511.828374999943,1191.4702302631586,-1296.4616187499994,0.582044081819835,37009.94493749995,-0.8784619493464217
0.15,0.2,120,98,38.775510204081634,38,60,-32134.511812499957,1332.9755921052636,-1379.7930718749997,0.6118438280406737,36082.25962499996,-0.890590338478559
0.15,0.25,30,98,34.69387755102041,34,64,-39193.822124999926,1077.6697610294125,-1184.9155312499993,0.4831669814834118,39147.14868749995,-1.001192256372809
0.15,0.25,45,98,34.69387755102041,34,64,-36926.96774999993,1195.8176470588242,-1212.2619960937493,0.5240435871511654,38320.42556249994,-0.9636366822120149
0.15,0.25,60,98,34.69387755102041,34,64,-40302.13181249992,1239.5622794117655,-1288.2382705078116,0.5111767566708905,42209.45212499994,-0.9548129573714523
0.15,0.25,90,98,36.734693877551024,36,62,-30548.41556249993,1377.3407552083343,-1292.4626249999992,0.6187770767914301,35448.78149999995,-0.8617620767162328
0.15,0.25,120,98,36.734693877551024,36,62,-26570.06212499994,1626.736328125001,-1373.1059667338707,0.6878978028678525,32393.865562499952,-0.8202189415689305
0.15,0.3,30,98,33.6734693877551,33,65,-39306.66618749992,1149.021818181819,-1188.0674798076916,0.4910070752512843,39750.33806249993,-0.9888385383212988
0.15,0.3,45,98,33.6734693877551,33,65,-34064.12681249992,1360.9222159090916,-1214.9932298076917,0.5686696217179545,36426.92212499995,-0.9351360154889827
0.15,0.3,60,98,33.6734693877551,33,65,-36997.14899999991,1419.3906818181829,-1289.8006384615376,0.5587016390601053,39968.30493749993,-0.925662198030511
0.15,0.3,90,98,35.714285714285715,35,63,-27695.732437499926,1537.9069285714297,-1294.0075386904755,0.6602687484803039,33925.061812499946,-0.8163797192344459
0.15,0.3,120,98,34.69387755102041,34,64,-25431.278999999933,1798.3417830882363,-1352.7328066406244,0.7062511292515987,31927.714312499942,-0.7965267651509709
0.15,0.35,30,98,33.6734693877551,33,65,-35854.11806249992,1253.6444886363645,-1188.0674798076916,0.5357150787130049,36788.13524999993,-0.9746109124272612
0.15,0.35,45,98,33.6734693877551,33,65,-29829.24243749992,1489.2520454545465,-1214.9932298076917,0.6222930211816738,33653.100562499945,-0.8863742697972681
