entry_time,exit_time,direction,entry_price,exit_price,exit_reason,points,pnl_pct,score,pillars_fired
2025-06-09 09:30:00+05:30,2025-06-09 09:40:00+05:30,long,25091.45,25077.15,sl,-14.299999999999272,-0.05699152500154145,5.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-10 10:15:00+05:30,2025-06-10 10:20:00+05:30,short,25158.8,25160.1,sl,-1.2999999999992724,-0.005167178084802425,4.0,"['sr_alignment', 'fib_alignment', 'multi_tf_confluence']"
2025-06-10 11:00:00+05:30,2025-06-10 11:05:00+05:30,short,25116.8,25125.91,sl,-9.110000000000582,-0.0362705440183486,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-11 09:30:00+05:30,2025-06-11 09:35:00+05:30,short,25141.85,25150.4,sl,-8.55000000000291,-0.0340070440321731,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-06-11 13:50:00+05:30,2025-06-11 15:25:00+05:30,long,25108.85,25126.8,eod,17.950000000000728,0.07148873803460026,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-06-12 10:15:00+05:30,2025-06-12 12:00:00+05:30,short,25090.7,25015.427900000002,tp,75.27209999999832,0.29999999999999327,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-16 09:45:00+05:30,2025-06-16 10:15:00+05:30,long,24713.25,24787.38975,tp,74.13974999999846,0.29999999999999377,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-16 10:40:00+05:30,2025-06-16 12:35:00+05:30,long,24869.7,24944.3091,tp,74.60909999999785,0.2999999999999914,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-16 11:15:00+05:30,2025-06-16 15:25:00+05:30,long,24905.85,24940.95,eod,35.10000000000218,0.14093074518638063,4.0,"['volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-17 11:15:00+05:30,2025-06-17 11:55:00+05:30,long,24870.55,24868.49,sl,-2.0599999999976717,-0.008282888798187704,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-17 11:45:00+05:30,2025-06-17 11:55:00+05:30,long,24885.9,24868.49,sl,-17.409999999999854,-0.06995929421881408,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-18 10:20:00+05:30,2025-06-18 11:20:00+05:30,long,24878.7,24813.7,sl,-65.0,-0.2612676707384228,5.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-19 12:05:00+05:30,2025-06-19 14:20:00+05:30,short,24815.9,24845.35,sl,-29.44999999999709,-0.11867391470789732,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-19 14:00:00+05:30,2025-06-19 14:20:00+05:30,short,24827.3,24845.35,sl,-18.049999999999272,-0.07270222698400258,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-20 09:30:00+05:30,2025-06-20 09:40:00+05:30,short,24832.0,24863.1,sl,-31.099999999998545,-0.12524162371133435,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
