expiry,entry_ts,atm_strike,entry_spot,ce_entry,pe_entry,combined_entry,lots,qty,exit_ts,ce_exit,pe_exit,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held
23_OCT_25,2025-10-23T15:00:00+05:30,84700,84721.98,46.8,23.95,70.75,14,280,2025-10-23T15:08:00+05:30,1.8,133.45,84518.4,TP,18004.0,17884.0,90.76,8
06_NOV_25,2025-11-06T14:50:00+05:30,83400,83382.01,42.55,34.8,77.35,12,240,2025-11-06T15:10:00+05:30,0.65,115.4,83267.87,TP,9240.0,9120.0,49.71,20
27_NOV_25,2025-11-27T15:00:00+05:30,85600,85630.89,36.45,33.55,70.0,14,280,2025-11-27T15:01:00+05:30,115.65,9.5,85668.02,TP,15386.0,15266.0,78.39,1
04_DEC_25,2025-12-04T15:00:00+05:30,85300,85304.56,43.0,22.0,65.0,15,300,2025-12-04T15:25:00+05:30,0.05,33.9,85215.1,TIME_EXIT,-9375.0,-9495.0,-48.0,25
11_DEC_25,2025-12-11T15:00:00+05:30,84800,84808.81,40.6,21.55,62.15,16,320,2025-12-11T15:25:00+05:30,17.8,0.1,84809.2,TIME_EXIT,-14224.0,-14344.0,-71.41,25
18_DEC_25,2025-12-18T15:00:00+05:30,84400,84420.09,45.05,16.75,61.8,16,320,2025-12-18T15:04:00+05:30,92.25,1.1,84534.6,TP,10032.0,9912.0,50.65,4
24_DEC_25,2025-12-24T14:50:00+05:30,85400,85377.76,37.1,39.79,76.89,13,260,2025-12-24T15:25:00+05:30,7.2,0.15,85389.89,TIME_EXIT,-18132.4,-18252.4,-90.58,35
08_JAN_26,2026-01-08T15:00:00+05:30,84200,84243.92,48.5,14.5,63.0,15,300,2026-01-08T15:25:00+05:30,0.15,16.95,84168.3,TIME_EXIT,-13830.0,-13950.0,-73.06,25
14_JAN_26,2026-01-14T15:00:00+05:30,83400,83410.64,46.85,21.95,68.8,14,280,2026-01-14T15:25:00+05:30,0.15,16.75,83405.43,TIME_EXIT,-14588.0,-14708.0,-75.62,25
23_APR_26,2026-04-23T15:00:00+05:30,77700,77716.22,45.5,25.45,70.95,14,280,2026-04-23T15:25:00+05:30,0.05,33.95,77641.06,TIME_EXIT,-10402.0,-10522.0,-52.29,25
