expiry,entry_ts,atm_strike,entry_spot,ce_entry,pe_entry,combined_entry,lots,qty,exit_ts,ce_exit,pe_exit,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held
04_OCT_24,2024-10-04T14:50:00+05:30,81700,81680.65,38.5,33.65,72.15,13,260,2024-10-04T15:09:00+05:30,9.6,25.0,81753.11,SL,-9815.0,-9935.0,-52.25,19
11_OCT_24,2024-10-11T14:50:00+05:30,81400,81386.74,23.85,15.0,38.85,25,500,2024-10-11T15:09:00+05:30,6.3,12.75,81372.68,SL,-10000.0,-10120.0,-51.35,19
18_OCT_24,2024-10-18T14:50:00+05:30,81300,81339.52,22.6,16.8,39.4,25,500,2024-10-18T15:07:00+05:30,1.85,63.8,81205.27,TP,13025.0,12905.0,65.95,17
31_OCT_24,2024-10-31T14:50:00+05:30,79400,79406.48,36.7,33.29,69.99,14,280,2024-10-31T15:02:00+05:30,10.35,23.05,79335.19,SL,-10301.2,-10421.2,-52.49,12
08_NOV_24,2024-11-08T14:50:00+05:30,79500,79497.8,14.4,25.95,40.35,24,480,2024-11-08T15:03:00+05:30,4.2,15.95,79465.82,SL,-9792.0,-9912.0,-50.43,13
29_NOV_24,2024-11-29T14:50:00+05:30,79800,79839.58,47.1,23.8,70.9,14,280,2024-11-29T15:01:00+05:30,19.39,15.75,79783.85,SL,-10068.8,-10188.8,-50.65,11
06_DEC_24,2024-12-06T14:50:00+05:30,81700,81697.83,30.3,24.85,55.15,18,360,2024-12-06T15:04:00+05:30,16.8,10.5,81708.95,SL,-10098.0,-10218.0,-50.77,14
13_DEC_24,2024-12-13T15:00:00+05:30,82000,82037.11,43.6,18.6,62.2,16,320,2024-12-13T15:06:00+05:30,96.3,5.3,82125.45,TP,12544.0,12424.0,62.92,6
27_DEC_24,2024-12-27T14:50:00+05:30,78700,78698.61,34.85,24.25,59.1,16,320,2024-12-27T15:00:00+05:30,14.05,13.25,78695.46,SL,-10240.0,-10360.0,-54.05,10
03_JAN_25,2025-01-03T15:00:00+05:30,79300,79288.33,30.6,26.25,56.85,17,340,2025-01-03T15:07:00+05:30,6.3,79.59,79176.61,TP,9805.6,9685.6,50.64,7
07_JAN_25,2025-01-07T14:50:00+05:30,78100,78112.36,42.7,24.25,66.95,14,280,2025-01-07T15:00:00+05:30,112.8,3.7,78239.02,TP,13818.0,13698.0,73.6,10
14_JAN_25,2025-01-14T14:50:00+05:30,76500,76531.0,35.6,10.5,46.1,21,420,2025-01-14T15:04:00+05:30,16.0,5.25,76481.61,SL,-10521.0,-10641.0,-54.22,14
11_MAR_25,2025-03-11T14:50:00+05:30,74100,74094.21,15.95,20.6,36.55,27,540,2025-03-11T15:07:00+05:30,11.45,6.8,74108.08,SL,-9990.0,-10110.0,-50.48,17
18_MAR_25,2025-03-18T14:50:00+05:30,75200,75167.74,22.35,49.2,71.55,13,260,2025-03-18T15:01:00+05:30,21.25,14.05,75221.06,SL,-9477.0,-9597.0,-50.87,11
01_APR_25,2025-04-01T15:00:00+05:30,76000,76029.85,31.15,18.2,49.35,20,400,2025-04-01T15:17:00+05:30,18.8,2.7,76044.85,SL,-11220.0,-11340.0,-56.72,17
15_APR_25,2025-04-15T15:00:00+05:30,76700,76695.82,11.7,11.35,23.05,43,860,2025-04-15T15:11:00+05:30,7.7,2.55,76709.41,SL,-11180.0,-11300.0,-56.16,11
29_APR_25,2025-04-29T15:00:00+05:30,80300,80319.58,15.75,13.75,29.5,33,660,2025-04-29T15:10:00+05:30,9.05,4.7,80301.52,SL,-10527.0,-10647.0,-53.89,10
06_MAY_25,2025-05-06T14:50:00+05:30,80600,80605.41,29.95,17.65,47.6,21,420,2025-05-06T15:01:00+05:30,82.4,6.15,80678.8,TP,17115.0,16995.0,85.43,11
20_MAY_25,2025-05-20T15:00:00+05:30,81200,81165.69,18.95,34.2,53.15,18,360,2025-05-20T15:14:00+05:30,17.7,7.8,81241.9,SL,-10026.0,-10146.0,-52.3,14
27_MAY_25,2025-05-27T15:00:00+05:30,81500,81536.71,46.05,35.6,81.65,12,240,2025-05-27T15:25:00+05:30,48.7,0.2,81518.37,TIME_EXIT,-7908.0,-8028.0,-40.31,25
03_JUN_25,2025-06-03T15:00:00+05:30,80800,80795.23,40.65,28.75,69.4,14,280,2025-06-03T15:25:00+05:30,0.1,66.15,80723.65,TIME_EXIT,-938.0,-1058.0,-4.82,25
10_JUN_25,2025-06-10T14:50:00+05:30,82400,82421.15,46.6,18.5,65.1,15,300,2025-06-10T15:09:00+05:30,14.05,11.15,82420.09,SL,-12030.0,-12150.0,-61.5,19
