sl_pct,tp_pct,time_stop_min,trades,win_rate,winners,losers,net_pnl,avg_win,avg_loss,profit_factor,max_dd,return_over_dd
0.15,0.2,30,87,36.7816091954023,32,55,-35077.69368749993,1014.1898437500006,-1227.8503397727266,0.4805749298553056,36257.818687499945,-0.967451847829807
0.15,0.2,45,87,36.7816091954023,32,55,-31015.307437499945,1175.1686718750004,-1247.6491806818176,0.548018233479985,33336.369937499956,-0.9303744677554392
0.15,0.2,60,87,39.08045977011494,34,53,-34376.989312499936,1126.7971323529418,-1371.4734304245276,0.5270616072688233,36159.19556249995,-0.9507122262463078
0.15,0.2,90,87,37.93103448275862,33,54,-29833.122749999944,1310.1470454545458,-1353.110652777777,0.5917072746586068,34696.47056249996,-0.8598316274348567
0.15,0.2,120,87,36.7816091954023,32,55,-31692.74118749996,1456.3551562500002,-1423.5655670454541,0.5952194466528945,36005.72024999997,-0.8802140595284992
0.15,0.25,30,87,34.48275862068966,30,57,-37248.51056249993,1090.0639062500006,-1227.2004868421043,0.46750131828178915,38918.98087499994,-0.9570782616876522
0.15,0.25,45,87,34.48275862068966,30,57,-33419.19993749994,1262.204843750001,-1250.6200921052623,0.5311911610963271,36563.61243749996,-0.9140015909156973
0.15,0.25,60,87,35.63218390804598,31,56,-36182.494312499926,1276.8788407258073,-1352.9596138392849,0.5224425302447935,38720.20837499995,-0.9344602167962887
0.15,0.25,90,87,36.7816091954023,32,55,-28238.715562499936,1463.4673828125008,-1364.9031238636353,0.6238332354371922,33606.95024999995,-0.8402641522790357
0.15,0.25,120,87,34.48275862068966,30,57,-28009.51837499995,1758.9353125000014,-1417.1504868421048,0.6532513210325877,34198.55306249996,-0.819026416813917
0.15,0.3,30,87,33.33333333333333,29,58,-37916.34056249992,1152.5475646551733,-1230.0037920258612,0.46851382578133577,40077.156187499946,-0.9460836089544202
0.15,0.3,45,87,33.33333333333333,29,58,-31111.344937499933,1433.2342241379322,-1253.0196109913786,0.5719121279370757,36935.94243749995,-0.8423054316305605
0.15,0.3,60,87,34.48275862068966,30,57,-33432.497437499915,1457.4344375000014,-1353.6057993421045,0.566686960821067,38875.53056249994,-0.8599881970421138
0.15,0.3,90,87,35.63218390804598,31,56,-25941.018374999923,1629.6272782258077,-1365.3475714285707,0.6607219431331621,34727.818687499945,-0.7469809321579195
0.15,0.3,120,87,32.18390804597701,28,59,-27425.721187499938,1956.935223214287,-1393.5577531779657,0.6664345407059988,34287.38774999994,-0.799877826431965
0.15,0.35,30,87,33.33333333333333,29,58,-35018.778374999914,1252.4635021551737,-1230.0037920258612,0.5091299353200858,37669.93931249993,-0.9296213111598964
0.15,0.35,45,87,33.33333333333333,29,58,-27431.446499999933,1560.1272737068973,-1253.0196109913786,0.6225470296001744,34717.10681249995,-0.7901420659316921
0.15,0.35,60,87,34.48275862068966,30,57,-29677.800562499917,1582.5910000000015,-1353.6057993421045,0.6153509625799364,37013.14181249994,-0.8018179249100448
0.15,0.35,90,87,35.63218390804598,31,56,-20277.94556249992,1812.3070463709687,-1365.3475714285707,0.7347882851689891,31046.81212499994,-0.6531409885452116
0.15,0.35,120,87,32.18390804597701,28,59,-21341.191499999928,2174.2398549107156,-1393.5577531779657,0.7404376608399542,29225.404312499973,-0.7302274169350705
0.15,0.4,30,87,33.33333333333333,29,58,-35447.06868749992,1237.694870689656,-1230.0037920258612,0.5031264451027128,38245.05618749995,-0.9268405441403293
0.15,0.4,45,87,32.18390804597701,28,59,-29786.027437499943,1536.9570535714295,-1234.251270127118,0.5909682777822906,33947.69868749996,-0.8774093263785093
0.15,0.4,60,87,33.33333333333333,29,58,-34938.43931249992,1479.0861206896561,-1341.9299450431029,0.5511040744538076,40467.536812499944,-0.86336955655052
0.15,0.4,90,87,33.33333333333333,29,58,-23548.945874999936,1871.0561637931044,-1341.544390086206,0.6973515664557595,31445.18306249995,-0.7488888148049392
0.15,0.4,120,87,31.03448275862069,27,60,-18663.776812499953,2402.516111111112,-1392.1951968749997,0.7765665708564223,27396.259312499977,-0.6812527432890924
0.15,0.5,30,87,33.33333333333333,29,58,-36653.81681249992,1196.0828663793113,-1230.0037920258612,0.4862110483453547,39451.80431249994,-0.9290783387792101
0.15,0.5,45,87,32.18390804597701,28,59,-32630.584312499937,1435.3657366071438,-1234.251270127118,0.5519058684036354,35328.05306249995,-0.9236451342159208
0.15,0.5,60,87,33.33333333333333,29,58,-36420.741187499916,1427.9722629310359,-1341.9299450431029,0.5320591690370131,42073.20993749994,-0.865651592583575
0.15,0.5,90,87,33.33333333333333,29,58,-24661.13399999993,1832.7048491379321,-1341.544390086206,0.6830578483579528,33310.52681249994,-0.7403405577706359
0.15,0.5,120,87,31.03448275862069,27,60,-18143.32743749994,2421.79201388889,-1392.1951968749997,0.7827971312472861,25231.605562499975,-0.7190714595057374
0.15,0.6,30,87,33.33333333333333,29,58,-35725.577437499924,1228.0911206896562,-1230.0037920258612,0.49922249372375727,38523.56493749994,-0.9273694554348895
0.15,0.6,45,87,32.18390804597701,28,59,-31476.287437499937,1476.590625000001,-1234.251270127118,0.5677570603667957,34173.75618749995,-0.9210660737672527
0.15,0.6,60,87,33.33333333333333,29,58,-35776.18181249991,1450.1984482758635,-1341.9299450431029,0.5403405943926839,40918.913062499945,-0.8743189673160434
0.15,0.6,90,87,33.33333333333333,29,58,-23449.95337499993,1874.4696982758635,-1341.544390086206,0.6986238070569593,30987.158062499948,-0.7567636027706136
