entry_time,exit_time,direction,leg,strike,expiry,dte,entry_premium,exit_premium,exit_reason,lots,pnl_rs,score,trend,vol_score,candle
2025-06-09 09:45:00+05:30,2025-06-09 15:25:00+05:30,long,CE,25100,2025-06-12,3,157.3,139.25,eod,1,-1173.2500000000007,4.0,SIDEWAYS,1.5581177937052042,None
2025-06-16 09:45:00+05:30,2025-06-16 10:28:00+05:30,long,CE,24700,2025-06-19,3,178.15,231.59500000000003,tp,1,3473.9250000000015,5.0,SIDEWAYS,0.6223369916074887,BEARISH_MARUBOZU
2025-06-16 10:15:00+05:30,2025-06-16 10:28:00+05:30,long,CE,24800,2025-06-19,3,130.2,169.26,tp,2,5077.8,4.0,UPTREND,1.3134732566012186,None
2025-06-17 11:15:00+05:30,2025-06-17 15:25:00+05:30,long,CE,24850,2025-06-19,2,119.25,99.2,eod,2,-2606.4999999999995,5.0,UPTREND,1.8438661710037174,None
2025-06-17 11:50:00+05:30,2025-06-17 15:25:00+05:30,long,CE,24850,2025-06-19,2,118.0,99.2,eod,2,-2443.9999999999995,5.0,UPTREND,1.7014694508894044,None
2025-06-20 09:35:00+05:30,2025-06-20 10:15:00+05:30,short,PE,24850,2025-06-26,6,157.1,109.96999999999998,sl,1,-3063.4500000000007,6.0,DOWNTREND,1.4278882284621166,BULLISH_MARUBOZU
2025-06-23 13:10:00+05:30,2025-06-23 13:21:00+05:30,long,CE,24950,2025-06-26,3,146.25,190.125,tp,2,5703.75,4.0,SIDEWAYS,2.5466520307354554,None
2025-06-27 09:30:00+05:30,2025-06-27 12:41:00+05:30,long,CE,25550,2025-07-03,6,171.15,222.495,tp,1,3337.4249999999997,4.0,SIDEWAYS,1.3241897297738592,None
2025-07-08 10:00:00+05:30,2025-07-08 15:05:00+05:30,long,CE,25450,2025-07-10,2,104.35,135.655,tp,2,4069.650000000001,4.0,UPTREND,4.08273381294964,None
2025-07-08 12:15:00+05:30,2025-07-08 15:01:00+05:30,long,CE,25450,2025-07-10,2,99.2,128.96,tp,3,5803.200000000001,4.0,UPTREND,1.5730337078651686,None
2025-07-22 09:30:00+05:30,2025-07-22 11:06:00+05:30,long,CE,25100,2025-07-24,2,98.95,69.265,sl,3,-5788.575000000001,5.0,SIDEWAYS,1.3957889756328365,None
2025-08-01 10:00:00+05:30,2025-08-01 15:05:00+05:30,short,PE,24750,2025-08-07,6,174.3,226.59000000000003,tp,1,3398.8500000000013,4.0,SIDEWAYS,1.3209260099863822,None
2025-08-01 11:55:00+05:30,2025-08-01 15:08:00+05:30,short,PE,24650,2025-08-07,6,139.0,180.70000000000002,tp,2,5421.000000000002,4.0,DOWNTREND,0.15930485155684287,BEARISH_MARUBOZU
2025-08-05 11:25:00+05:30,2025-08-05 13:30:00+05:30,long,CE,24650,2025-08-07,2,101.3,70.91,sl,3,-5926.05,4.0,UPTREND,2.444889779559118,None
2025-08-12 10:50:00+05:30,2025-08-12 11:08:00+05:30,short,PE,24600,2025-08-14,2,94.4,122.72000000000001,tp,3,5522.4000000000015,4.0,DOWNTREND,0.19734523669681664,HAMMER
2025-08-18 13:35:00+05:30,2025-08-18 15:25:00+05:30,long,CE,24950,2025-08-21,3,120.55,102.1,eod,2,-2398.5000000000005,5.0,UPTREND,2.8361581920903953,None
2025-08-22 09:30:00+05:30,2025-08-22 10:41:00+05:30,short,PE,24950,2025-08-28,6,96.95,126.03500000000001,tp,3,5671.575000000002,4.0,SIDEWAYS,1.685418045444518,None
2025-08-22 10:05:00+05:30,2025-08-22 11:01:00+05:30,short,PE,24950,2025-08-28,6,102.65,133.44500000000002,tp,2,4003.350000000002,4.0,DOWNTREND,0.7434705976606313,BULLISH_MARUBOZU
2025-08-25 11:05:00+05:30,2025-08-25 12:51:00+05:30,short,PE,24950,2025-08-28,3,72.3,50.60999999999999,sl,4,-5639.4000000000015,4.0,SIDEWAYS,1.4036478984932592,None
2025-08-28 09:45:00+05:30,2025-08-28 10:58:00+05:30,short,PE,24550,2025-09-02,5,90.9,63.63,sl,3,-5317.650000000001,4.0,SIDEWAYS,1.166899707639507,None
