timestamp,spot,strike,pos,ce_ltp,ce_oi,ce_prev_oi,ce_volume,ce_iv,ce_delta,ce_theta,ce_gamma,ce_vega,pe_ltp,pe_oi,pe_prev_oi,pe_volume,pe_iv,pe_delta,pe_theta,pe_gamma,pe_vega
2026-05-26 09:15:45,76277.64,75600.0,-7.0,820.0,63840.0,63840.0,1580,20.2,0.7861,-104.686,0.0003,13.0622,95.25,214340.0,214340.0,41220,19.0,0.1999,-94.5898,0.0003,12.5467
2026-05-26 09:15:45,76277.64,75700.0,-6.0,741.55,83960.0,83960.0,4780,20.34,0.7507,-114.8332,0.0003,14.2262,112.6,152500.0,152500.0,67100,18.61,0.2301,-100.5525,0.0004,13.6165
2026-05-26 09:15:45,76277.64,75800.0,-5.0,662.15,55800.0,55800.0,5640,19.05,0.727,-112.6934,0.0004,14.9065,133.85,154080.0,154080.0,118620,18.55,0.2677,-108.64,0.0004,14.7605
2026-05-26 09:15:45,76277.64,75900.0,-4.0,585.7,46080.0,46080.0,8260,18.56,0.6909,-116.3649,0.0004,15.7971,158.6,112560.0,112560.0,81400,18.03,0.304,-112.1958,0.0004,15.6818
2026-05-26 09:15:45,76277.64,76000.0,-3.0,519.9,219060.0,219060.0,81020,19.24,0.6424,-127.7861,0.0004,16.7349,188.15,577800.0,577800.0,222100,17.81,0.3471,-117.0474,0.0005,16.5561
2026-05-26 09:15:45,76277.64,76100.0,-2.0,452.6,78500.0,78500.0,34060,18.46,0.602,-126.6902,0.0005,17.2983,220.65,187180.0,187180.0,96740,17.79,0.3944,-121.8368,0.0005,17.2563
2026-05-26 09:15:45,76277.64,76200.0,-1.0,392.3,115800.0,115800.0,96880,18.54,0.5544,-130.367,0.0005,17.7192,261.3,487480.0,487480.0,180080,17.54,0.4427,-123.2144,0.0005,17.7013
2026-05-26 09:15:45,76277.64,76300.0,ATM,335.05,215240.0,215240.0,177780,18.45,0.5066,-130.926,0.0005,17.8835,304.15,475400.0,475400.0,239380,17.27,0.4933,-122.5324,0.0005,17.8834
2026-05-26 09:15:45,76277.64,76400.0,+1.0,284.9,215580.0,215580.0,191180,17.93,0.4571,-126.5508,0.0005,17.7829,352.8,275380.0,275380.0,195620,17.56,0.5439,-123.8515,0.0005,17.778
2026-05-26 09:15:45,76277.64,76500.0,+2.0,242.0,275700.0,275700.0,262660,17.75,0.4074,-122.5474,0.0005,17.4017,408.45,351560.0,351560.0,220420,16.91,0.5973,-116.4694,0.0005,17.3512
2026-05-26 09:15:45,76277.64,76600.0,+3.0,203.4,150700.0,150700.0,84940,18.31,0.3638,-122.2937,0.0005,16.8332,471.9,79980.0,79980.0,48480,17.13,0.6454,-113.4051,0.0005,16.684
