timestamp,open,high,low,close,volume,open_interest
2026-04-01 09:52:00+05:30,429.6,429.6,429.6,429.6,130,0
2026-04-01 09:53:00+05:30,430.0,437.55,429.9,437.55,1105,0
2026-04-01 09:54:00+05:30,437.7,437.7,434.2,434.2,260,1170
2026-04-01 09:55:00+05:30,436.7,437.6,436.7,437.6,195,1170
2026-04-01 09:56:00+05:30,442.35,442.35,442.35,442.35,65,1170
2026-04-01 09:57:00+05:30,442.35,442.35,442.35,442.35,0,1170
2026-04-01 09:58:00+05:30,439.9,439.9,439.9,439.9,65,1430
2026-04-01 09:59:00+05:30,440.0,440.0,440.0,440.0,65,1430
2026-04-01 10:00:00+05:30,437.2,437.2,437.2,437.2,65,1430
2026-04-01 10:01:00+05:30,437.2,437.2,437.2,437.2,0,1430
2026-04-01 10:02:00+05:30,432.6,432.8,431.55,431.55,3835,1560
2026-04-01 10:03:00+05:30,431.25,431.25,425.0,425.9,390,4290
2026-04-01 10:04:00+05:30,423.0,425.15,419.6,424.9,5460,4290
2026-04-01 10:05:00+05:30,424.95,429.0,424.95,426.2,2275,4290
2026-04-01 10:06:00+05:30,432.0,432.45,431.8,431.8,260,10400
2026-04-01 10:07:00+05:30,432.1,433.45,430.9,433.45,585,10400
2026-04-01 10:08:00+05:30,433.8,433.8,433.6,433.6,390,10400
2026-04-01 10:09:00+05:30,433.6,435.0,433.6,434.6,650,10400
2026-04-01 10:10:00+05:30,434.75,443.05,434.75,443.05,585,11765
2026-04-01 10:11:00+05:30,443.2,444.25,443.2,444.05,455,11765
2026-04-01 10:12:00+05:30,447.05,449.3,444.0,449.3,585,11765
2026-04-01 10:13:00+05:30,452.95,452.95,452.25,452.25,130,13065
2026-04-01 10:14:00+05:30,451.15,452.15,451.15,452.15,195,13065
2026-04-01 10:15:00+05:30,449.2,450.9,449.2,450.9,195,13065
2026-04-01 10:16:00+05:30,454.95,454.95,453.2,453.2,130,13065
2026-04-01 10:17:00+05:30,455.45,455.45,455.35,455.35,130,13065
2026-04-01 10:18:00+05:30,456.5,458.1,456.5,457.95,2145,13065
2026-04-01 10:19:00+05:30,457.05,457.1,449.0,449.0,260,13325
2026-04-01 10:20:00+05:30,451.9,451.9,445.0,446.65,3835,13325
2026-04-01 10:21:00+05:30,448.15,450.75,448.15,450.75,195,13325
2026-04-01 10:22:00+05:30,457.05,461.8,457.05,459.45,520,16965
2026-04-01 10:23:00+05:30,468.7,468.7,468.7,468.7,65,16965
2026-04-01 10:24:00+05:30,471.05,471.6,467.8,467.8,715,16965
2026-04-01 10:25:00+05:30,476.4,488.6,476.4,488.6,1105,17095
2026-04-01 10:26:00+05:30,488.55,500.0,488.55,498.0,3900,17095
2026-04-01 10:27:00+05:30,496.35,500.1,496.35,500.1,4485,17095
2026-04-01 10:28:00+05:30,498.8,505.0,498.8,501.3,780,12610
2026-04-01 10:29:00+05:30,501.8,501.8,498.8,498.8,325,12610
2026-04-01 10:30:00+05:30,498.8,498.8,498.8,498.8,0,12610
2026-04-01 10:31:00+05:30,499.6,499.6,498.25,498.25,325,12220
2026-04-01 10:32:00+05:30,498.0,498.0,486.9,486.9,195,12220
2026-04-01 10:33:00+05:30,492.5,493.05,492.5,493.05,390,12220
2026-04-01 10:34:00+05:30,493.05,493.05,493.05,493.05,0,12220
2026-04-01 10:35:00+05:30,493.05,493.05,493.05,493.05,0,12220
2026-04-01 10:36:00+05:30,488.9,488.9,488.9,488.9,65,11960
2026-04-01 10:37:00+05:30,484.05,484.1,484.05,484.1,130,12025
2026-04-01 10:38:00+05:30,490.25,490.25,490.25,490.25,130,12025
2026-04-01 10:39:00+05:30,490.25,490.25,490.25,490.25,0,12025
2026-04-01 10:40:00+05:30,486.55,486.75,486.55,486.75,325,12025
2026-04-01 10:41:00+05:30,486.75,486.75,486.75,486.75,0,12025
2026-04-01 10:42:00+05:30,486.75,486.75,486.75,486.75,0,12025
2026-04-01 10:43:00+05:30,486.75,486.75,486.75,486.75,0,12025
2026-04-01 10:44:00+05:30,486.75,486.75,486.75,486.75,0,12025
2026-04-01 10:45:00+05:30,491.8,491.8,491.8,491.8,65,12025
2026-04-01 10:46:00+05:30,491.8,491.8,491.8,491.8,0,12025
2026-04-01 10:47:00+05:30,491.8,491.8,491.8,491.8,0,12025
2026-04-01 10:48:00+05:30,491.8,491.8,491.8,491.8,0,12025
2026-04-01 10:49:00+05:30,487.3,487.45,487.3,487.45,260,12025
2026-04-01 10:50:00+05:30,496.1,497.0,495.4,497.0,520,12025
2026-04-01 10:51:00+05:30,494.1,494.1,494.0,494.0,130,12025
2026-04-01 10:52:00+05:30,493.7,493.7,487.55,490.65,390,11635
2026-04-01 10:53:00+05:30,495.45,495.45,495.4,495.4,195,11635
2026-04-01 10:54:00+05:30,494.95,495.0,492.7,492.7,260,11635
2026-04-01 10:55:00+05:30,498.55,499.6,498.55,499.6,260,11245
2026-04-01 10:56:00+05:30,498.05,498.05,497.85,498.0,260,11245
2026-04-01 10:57:00+05:30,498.85,501.8,498.85,501.8,390,11245
2026-04-01 10:58:00+05:30,503.2,507.9,503.2,507.9,845,11700
2026-04-01 10:59:00+05:30,507.9,507.9,507.9,507.9,0,11700
2026-04-01 11:00:00+05:30,511.2,511.2,510.1,510.1,325,11700
2026-04-01 11:01:00+05:30,510.1,510.1,510.1,510.1,0,11700
2026-04-01 11:02:00+05:30,508.9,508.9,508.9,508.9,65,11895
2026-04-01 11:03:00+05:30,508.9,508.9,508.9,508.9,0,11895
2026-04-01 11:04:00+05:30,516.2,516.2,516.2,516.2,65,11895
2026-04-01 11:05:00+05:30,518.0,519.9,518.0,519.9,130,11895
2026-04-01 11:06:00+05:30,519.9,519.9,519.9,519.9,0,11895
2026-04-01 11:07:00+05:30,509.65,511.7,509.65,511.7,130,11960
