timestamp,open,high,low,close,volume,open_interest
2026-01-13 09:15:00+05:30,40.15,41.25,38.0,39.8,62595,1150435
2026-01-13 09:16:00+05:30,39.75,40.9,39.05,39.8,88270,1163500
2026-01-13 09:17:00+05:30,39.7,39.85,38.45,38.8,34125,1163500
2026-01-13 09:18:00+05:30,38.95,42.2,38.95,41.95,46345,1163500
2026-01-13 09:19:00+05:30,42.05,42.75,41.05,42.6,26585,1154790
2026-01-13 09:20:00+05:30,42.7,45.6,42.65,45.15,45045,1154790
2026-01-13 09:21:00+05:30,45.1,45.55,43.65,44.6,27105,1154790
2026-01-13 09:22:00+05:30,44.9,45.0,43.0,43.2,21710,1177150
2026-01-13 09:23:00+05:30,43.15,43.5,41.1,43.35,17615,1177150
2026-01-13 09:24:00+05:30,43.3,44.15,42.2,43.7,30030,1177150
2026-01-13 09:25:00+05:30,43.7,46.5,43.25,45.65,30615,1182740
2026-01-13 09:26:00+05:30,45.7,48.15,44.9,48.0,24375,1182740
2026-01-13 09:27:00+05:30,47.85,52.6,47.85,51.1,31395,1182740
2026-01-13 09:28:00+05:30,51.0,55.6,50.35,55.4,22555,1166035
2026-01-13 09:29:00+05:30,55.9,58.05,54.85,57.75,19565,1166035
2026-01-13 09:30:00+05:30,57.6,57.8,55.2,56.2,32695,1166035
2026-01-13 09:31:00+05:30,56.7,56.7,52.8,55.45,19370,1159860
2026-01-13 09:32:00+05:30,55.55,60.75,55.45,60.75,26650,1159860
2026-01-13 09:33:00+05:30,60.8,61.95,59.0,61.15,28990,1159860
2026-01-13 09:34:00+05:30,60.9,62.7,59.05,59.35,50050,1155700
2026-01-13 09:35:00+05:30,59.6,61.6,57.45,61.35,40170,1155700
2026-01-13 09:36:00+05:30,60.85,63.3,60.8,61.6,14625,1155700
2026-01-13 09:37:00+05:30,61.75,63.8,61.15,61.95,23920,1144520
2026-01-13 09:38:00+05:30,61.8,62.85,61.05,61.85,14105,1144520
2026-01-13 09:39:00+05:30,61.85,62.0,60.0,60.35,47125,1144520
2026-01-13 09:40:00+05:30,60.25,63.7,60.25,61.4,12480,1133470
2026-01-13 09:41:00+05:30,61.5,63.95,61.35,63.95,12545,1133470
2026-01-13 09:42:00+05:30,64.0,64.65,63.45,63.95,6695,1133470
2026-01-13 09:43:00+05:30,64.2,64.7,61.95,63.45,25090,1133795
2026-01-13 09:44:00+05:30,63.45,64.2,60.55,60.55,8970,1133795
2026-01-13 09:45:00+05:30,60.15,60.15,53.1,53.5,27885,1133795
2026-01-13 09:46:00+05:30,53.6,53.65,49.05,51.55,27755,1130415
2026-01-13 09:47:00+05:30,51.15,54.05,51.15,53.25,24440,1130415
2026-01-13 09:48:00+05:30,53.25,57.0,51.9,57.0,15275,1130415
2026-01-13 09:49:00+05:30,57.1,60.0,56.55,58.35,24115,1134445
2026-01-13 09:50:00+05:30,57.9,60.0,55.6,55.85,8125,1134445
2026-01-13 09:51:00+05:30,55.9,56.7,53.8,53.8,5850,1134445
2026-01-13 09:52:00+05:30,54.25,56.6,53.5,56.25,9685,1132755
2026-01-13 09:53:00+05:30,55.75,56.15,54.5,56.15,4420,1132755
2026-01-13 09:54:00+05:30,56.2,58.8,56.2,57.7,9230,1132755
2026-01-13 09:55:00+05:30,57.65,61.0,57.65,61.0,14690,1131585
2026-01-13 09:56:00+05:30,60.75,66.4,60.7,66.25,27495,1131585
2026-01-13 09:57:00+05:30,65.7,65.85,63.15,64.0,21580,1131585
2026-01-13 09:58:00+05:30,63.45,64.95,62.15,64.15,26585,1122420
2026-01-13 09:59:00+05:30,64.15,65.6,63.1,64.65,5850,1122420
2026-01-13 10:00:00+05:30,64.75,66.0,62.95,63.1,27040,1122420
2026-01-13 10:01:00+05:30,62.45,63.55,60.0,60.2,15015,1122810
2026-01-13 10:02:00+05:30,60.45,60.95,58.2,59.4,8515,1122810
2026-01-13 10:03:00+05:30,59.85,61.0,59.4,59.65,5395,1122810
2026-01-13 10:04:00+05:30,59.9,59.9,56.8,57.75,5330,1122680
2026-01-13 10:05:00+05:30,58.25,60.5,56.85,58.95,7020,1122680
2026-01-13 10:06:00+05:30,59.05,60.4,58.5,59.1,21255,1122680
2026-01-13 10:07:00+05:30,59.2,60.8,58.95,59.2,4940,1121575
2026-01-13 10:08:00+05:30,58.05,58.45,56.2,56.6,29640,1121575
2026-01-13 10:09:00+05:30,56.2,57.0,54.7,56.85,8255,1121575
2026-01-13 10:10:00+05:30,56.45,57.6,54.4,56.95,8515,1122030
2026-01-13 10:11:00+05:30,57.25,58.3,55.95,57.55,7345,1122030
2026-01-13 10:12:00+05:30,57.65,57.65,55.35,55.9,2210,1122030
2026-01-13 10:13:00+05:30,55.4,58.05,55.4,58.05,6110,1129440
2026-01-13 10:14:00+05:30,57.7,60.1,57.0,59.55,3900,1129440
2026-01-13 10:15:00+05:30,60.4,61.0,56.5,56.6,5005,1129440
2026-01-13 10:16:00+05:30,56.85,59.7,56.0,58.85,5590,1128400
2026-01-13 10:17:00+05:30,59.0,59.9,58.9,59.3,7540,1128400
2026-01-13 10:18:00+05:30,59.25,60.8,58.2,59.0,6825,1128400
2026-01-13 10:19:00+05:30,59.0,59.25,57.05,58.95,2860,1130025
2026-01-13 10:20:00+05:30,58.55,58.7,54.55,54.8,8125,1130025
2026-01-13 10:21:00+05:30,54.7,55.05,52.45,53.5,7410,1130025
2026-01-13 10:22:00+05:30,53.35,54.55,52.75,53.75,5395,1134055
2026-01-13 10:23:00+05:30,53.7,54.05,51.8,52.75,9750,1134055
