date,ts,tactic,direction,blocked_by,blocker_detail,hypothetical_strike,hypothetical_entry_premium,hypothetical_exit_premium,hypothetical_pnl,hypothetical_outcome,hypothetical_explanation,sl_pct,tp_pct,time_stop_min,poll_count,regime,spot,vix_level,focus_pcr,state_snapshot_json
2026-05-18,2026-05-18T10:56:00.235471+05:30,ief,CE,choch_present,value=no threshold=yes,74500,718.75,1029.65,6158.0,WIN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.719 -> Rs.1030, P&L Rs.+6,158; SL -30% / TP +50% / time 120m).",0.3,0.5,120,114,RANGE,74632.86,13.5,1.0489978710965506,"{""spot"": 74632.86, ""vwap"": 74632.86, ""ema9_5m"": 74459.85192690685, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0489978710965506, ""ce_oi_change"": 1602580.0, ""pe_oi_change"": 1020080.0}"
2026-05-18,2026-05-18T10:56:00.235471+05:30,ief,PE,choch_present,value=no threshold=yes,74700,654.9,458.43,-3989.4,LOSS,"If the choch_present gate had allowed entry, the trade would have hit SL (premium Rs.655 -> Rs.458, P&L Rs.-3,989; SL -30% / TP +50% / time 120m).",0.3,0.5,120,98,RANGE,74632.86,13.5,1.0489978710965506,"{""spot"": 74632.86, ""vwap"": 74632.86, ""ema9_5m"": 74459.85192690685, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0489978710965506, ""ce_oi_change"": 1602580.0, ""pe_oi_change"": 1020080.0}"
2026-05-18,2026-05-18T10:57:01.744775+05:30,ief,CE,choch_present,value=no threshold=yes,74600,678.15,1017.22,6721.5,WIN,"If the choch_present gate had allowed entry, the trade would have hit TP (premium Rs.678 -> Rs.1017, P&L Rs.+6,721; SL -30% / TP +50% / time 120m).",0.3,0.5,120,115,RANGE,74654.58,13.5,0.8764266720276334,"{""spot"": 74654.58, ""vwap"": 74654.58, ""ema9_5m"": 74459.85192690685, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.8764266720276334, ""ce_oi_change"": 1797740.0, ""pe_oi_change"": 780920.0}"
2026-05-18,2026-05-18T10:57:01.744775+05:30,ief,PE,choch_present,value=no threshold=yes,74800,695.05,486.53,-4230.3,LOSS,"If the choch_present gate had allowed entry, the trade would have hit SL (premium Rs.695 -> Rs.487, P&L Rs.-4,230; SL -30% / TP +50% / time 120m).",0.3,0.5,120,97,RANGE,74654.58,13.5,0.8764266720276334,"{""spot"": 74654.58, ""vwap"": 74654.58, ""ema9_5m"": 74459.85192690685, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.8764266720276334, ""ce_oi_change"": 1797740.0, ""pe_oi_change"": 780920.0}"
2026-05-18,2026-05-18T11:02:08.624121+05:30,ief,CE,choch_present,value=no threshold=yes,74600,672.05,1008.07,6660.5,WIN,"If the choch_present gate had allowed entry, the trade would have hit TP (premium Rs.672 -> Rs.1008, P&L Rs.+6,660; SL -30% / TP +50% / time 120m).",0.3,0.5,120,110,RANGE,74666.16,13.5,0.9882383714955671,"{""spot"": 74666.16, ""vwap"": 74666.16, ""ema9_5m"": 74503.74954152548, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.9882383714955671, ""ce_oi_change"": 1749940.0, ""pe_oi_change"": 978400.0}"
2026-05-18,2026-05-18T11:02:08.624121+05:30,ief,PE,choch_present,value=no threshold=yes,74800,689.55,482.68,-4197.3,LOSS,"If the choch_present gate had allowed entry, the trade would have hit SL (premium Rs.690 -> Rs.483, P&L Rs.-4,197; SL -30% / TP +50% / time 120m).",0.3,0.5,120,94,RANGE,74666.16,13.5,0.9882383714955671,"{""spot"": 74666.16, ""vwap"": 74666.16, ""ema9_5m"": 74503.74954152548, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.9882383714955671, ""ce_oi_change"": 1749940.0, ""pe_oi_change"": 978400.0}"
2026-05-18,2026-05-18T11:07:17.753700+05:30,ief,CE,choch_present,value=no threshold=yes,74600,695.65,1043.47,6896.5,WIN,"If the choch_present gate had allowed entry, the trade would have hit TP (premium Rs.696 -> Rs.1043, P&L Rs.+6,896; SL -30% / TP +50% / time 120m).",0.3,0.5,120,106,RANGE,74703.74,13.5,1.031050872982258,"{""spot"": 74703.74, ""vwap"": 74703.74, ""ema9_5m"": 74535.99963322039, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.031050872982258, ""ce_oi_change"": 1733980.0, ""pe_oi_change"": 1053600.0}"
2026-05-18,2026-05-18T11:07:17.753700+05:30,ief,PE,choch_present,value=no threshold=yes,74800,673.95,471.76,-4103.7,LOSS,"If the choch_present gate had allowed entry, the trade would have hit SL (premium Rs.674 -> Rs.472, P&L Rs.-4,104; SL -30% / TP +50% / time 120m).",0.3,0.5,120,105,RANGE,74703.74,13.5,1.031050872982258,"{""spot"": 74703.74, ""vwap"": 74703.74, ""ema9_5m"": 74535.99963322039, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.031050872982258, ""ce_oi_change"": 1733980.0, ""pe_oi_change"": 1053600.0}"
2026-05-18,2026-05-18T11:12:26.814504+05:30,ief,CE,choch_present,value=no threshold=yes,74600,672.95,1009.43,6669.5,WIN,"If the choch_present gate had allowed entry, the trade would have hit TP (premium Rs.673 -> Rs.1009, P&L Rs.+6,670; SL -30% / TP +50% / time 120m).",0.3,0.5,120,100,RANGE,74687.99,13.5,1.0590341596274535,"{""spot"": 74687.99, ""vwap"": 74687.99, ""ema9_5m"": 74567.85770657631, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0590341596274535, ""ce_oi_change"": 1709220.0, ""pe_oi_change"": 1086840.0}"
2026-05-18,2026-05-18T11:12:26.814504+05:30,ief,PE,choch_present,value=no threshold=yes,74800,692.4,484.68,-4214.4,LOSS,"If the choch_present gate had allowed entry, the trade would have hit SL (premium Rs.692 -> Rs.485, P&L Rs.-4,214; SL -30% / TP +50% / time 120m).",0.3,0.5,120,82,RANGE,74687.99,13.5,1.0590341596274535,"{""spot"": 74687.99, ""vwap"": 74687.99, ""ema9_5m"": 74567.85770657631, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0590341596274535, ""ce_oi_change"": 1709220.0, ""pe_oi_change"": 1086840.0}"
