date,tactic,direction,strike,qty_lots,entry_ts,entry_premium,exit_ts,exit_premium,sl_pct,tp_pct,time_stop_min,exit_reason,regime_at_entry,net_pnl,outcome,optimal_exit_premium,optimal_exit_ts,captured_pct_of_optimum,entry_reason,exit_reason_text,win_lose_explanation,counterfactual_notes,suggestions,entry_state_json
2026-05-13,oi_wall_mean_reversion,CE,74500,1,2026-05-13T10:00:00.928337+05:30,481.6,2026-05-13T10:05:11.418166+05:30,536.9,0.2,0.5,120,"PCR SHIFT EXIT (CE: 1.11 -> 0.88, delta -0.23)",[RANGE] OI-Wall MR fired,1046.0,WIN,543.1,2026-05-13T10:05:08.007017+05:30,89.92,`oi_wall_mean_reversion` armed in regime `[RANGE] OI-Wall MR fired`. (Reason details unavailable.) Bought 1-strike-ITM CE at 74500 strike at premium ₹482.,"Exited via PCR SHIFT EXIT (CE: 1.11 -> 0.88, delta -0.23). Net P&L: +₹1,046.",WIN. Premium moved from ₹482 to ₹537 (+11.5%). The setup played out as expected — the reclaim of support was followed by directional follow-through.,"**Tighter TP 35%** would have produced ₹+2,942 (₹+1,896 better than actual). | **Tighter TP 25%** would have produced ₹+2,942 (₹+1,896 better than actual). | **Wider TP 75%** would have produced ₹+2,942 (₹+1,896 better than actual). | **Tighter SL 20%** would have produced ₹+2,942 (₹+1,896 better than actual). | **Shorter time 45m** would have produced ₹+2,942 (₹+1,896 better than actual).",Trade played out as designed. No specific improvement suggested.,"{""spot"": 74464.01, ""support"": 74100.0, ""resistance"": 74900.0, ""focus_pcr"": 1.1087878143641434, ""vix"": 13.5, ""delta"": 0.501}"
2026-05-13,oi_wall_mean_reversion,CE,74800,1,2026-05-13T11:56:00.889641+05:30,473.7,2026-05-13T12:05:03.908546+05:30,478.7,0.2,0.5,120,"PCR SHIFT EXIT (CE: 1.15 -> 0.77, delta -0.39)",[RANGE] OI-Wall MR fired,40.0,WIN,484.9,2026-05-13T12:04:40.250407+05:30,44.64,`oi_wall_mean_reversion` armed in regime `[RANGE] OI-Wall MR fired`. (Reason details unavailable.) Bought 1-strike-ITM CE at 74800 strike at premium ₹474.,"Exited via PCR SHIFT EXIT (CE: 1.15 -> 0.77, delta -0.39). Net P&L: +₹40.",WIN. Premium moved from ₹474 to ₹479 (+1.1%). The setup played out as expected — the reclaim of support was followed by directional follow-through.,**Tighter TP 35%** would have produced ₹-756 (₹-796 worse than actual). | **Tighter TP 25%** would have produced ₹-756 (₹-796 worse than actual). | **Wider TP 75%** would have produced ₹-756 (₹-796 worse than actual). | **Tighter SL 20%** would have produced ₹-756 (₹-796 worse than actual). | **Shorter time 45m** would have produced ₹-756 (₹-796 worse than actual).,Captured only 45% of the available profit — the underlying continued moving in our favour after exit. Investigate trailing-stop logic.,"{""spot"": 74844.88, ""support"": 74500.0, ""resistance"": 75100.0, ""focus_pcr"": 1.1519910431298548, ""vix"": 13.5, ""delta"": 0.5259}"
